query_id,JobID,relevance
Q1,net-f-001,1
Q1,net-f-002,1
Q1,net-f-003,1
Q1,net-f-004,1
Q1,net-f-005,1
Q1,net-f-006,1
Q1,net-f-007,1
Q1,net-f-008,1
Q1,net-f-009,1
Q1,net-f-010,1
Q1,net-e-011,1
Q1,net-e-012,1
Q1,net-e-013,1
Q1,net-e-014,1
Q1,net-e-015,1
Q1,net-e-016,1
Q1,net-e-017,1
Q1,net-e-018,1
Q1,net-e-019,1
Q1,net-e-020,1
Q1,bi001,1
Q1,bi002,1
Q1,bi003,1
Q1,bi004,1
Q1,bi005,1
Q1,bi006,1
Q1,bi007,1
Q1,bi008,1
Q2,py-f-001,1
Q2,py-f-002,1
Q2,py-f-003,1
Q2,py-f-004,1
Q2,py-f-005,1
Q2,py-f-006,1
Q2,py-f-007,1
Q2,py-f-008,1
Q2,py-f-009,1
Q2,py-f-010,1
Q2,web-f-001,1
Q2,web-f-002,1
Q2,web-f-003,1
Q2,web-f-004,1
Q2,web-f-005,1
Q2,web-f-006,1
Q2,web-f-007,1
Q2,web-f-008,1
Q2,web-f-009,1
Q2,web-f-010,1
Q2,se-f1,1
Q2,se-f2,1
Q2,se-f3,1
Q2,se-f4,1
Q2,se-f5,1
Q2,se-f6,1
Q2,se-f7,1
Q2,se-f8,1
Q2,se-f9,1
Q2,se-f10,1
Q3,ai001,1
Q3,ai002,1
Q3,ai003,1
Q3,ai004,1
Q3,ai005,1
Q3,ai006,1
Q3,ai007,1
Q3,ai008,1
Q3,ai009,1
Q3,ai010,1
Q3,ai011,1
Q3,ai012,1
Q3,ai013,1
Q3,ai014,1
Q3,ai015,1
Q3,ai016,1
Q3,ai018,1
Q3,ai019,1
Q3,ai020,1
Q3,ml-s5,1
Q4,cl001,1
Q4,cl002,1
Q4,cl003,1
Q4,cl004,1
Q4,cl005,1
Q4,cl006,1
Q4,cl007,1
Q4,cl008,1
Q4,cl009,1
Q4,cl010,1
Q4,cl011,1
Q4,cl012,1
Q4,cl013,1
Q4,cl014,1
Q4,cl015,1
Q4,cl016,1
Q4,cl017,1
Q4,cl018,1
Q4,cl019,1
Q4,cl020,1
Q4,ca006,1
Q4,ca010,1
Q4,se018,1
Q5,de-f-001,1
Q5,de-f-002,1
Q5,de-f-003,1
Q5,de-f-004,1
Q5,de-f-005,1
Q5,de-f-006,1
Q5,de-f-007,1
Q5,de-f-008,1
Q5,de-f-009,1
Q5,de-f-010,1
Q5,de-e-001,1
Q5,de-e-002,1
Q5,de-e-003,1
Q5,de-e-004,1
Q5,de-e-005,1
Q5,de-e-006,1
Q5,de-e-007,1
Q5,de-e-008,1
Q5,de-e-009,1
Q5,de-e-010,1
Q6,uxf001,1
Q6,uxf002,1
Q6,uxf003,1
Q6,uxf004,1
Q6,uxf005,1
Q6,uxf006,1
Q6,uxf007,1
Q6,uxf008,1
Q6,uxf009,1
Q6,uxf010,1
Q6,uxe011,1
Q6,uxe012,1
Q6,uxe013,1
Q6,uxe014,1
Q6,uxe015,1
Q6,uxe016,1
Q6,uxe017,1
Q6,uxe018,1
Q6,uxe019,1
Q6,uxe020,1
Q7,qa001,1
Q7,qa002,1
Q7,qa003,1
Q7,qa004,1
Q7,qa005,1
Q7,qa006,1
Q7,qa007,1
Q7,qa008,1
Q7,qa009,1
Q7,qa010,1
Q7,qa011,1
Q7,qa012,1
Q7,qa013,1
Q7,qa014,1
Q7,qa015,1
Q7,qa016,1
Q7,qa017,1
Q7,qa018,1
Q7,qa019,1
Q7,qa020,1
Q7,sdet-f-001,1
Q7,sdet-f-002,1
Q7,sdet-f-003,1
Q7,sdet-f-004,1
Q7,sdet-f-005,1
Q7,sdet-e-006,1
Q7,sdet-e-007,1
Q7,sdet-e-008,1
Q7,sdet-e-009,1
Q7,sdet-e-010,1
Q7,sdet-f-011,1
Q7,sdet-f-012,1
Q7,sdet-f-013,1
Q7,sdet-f-014,1
Q7,sdet-f-015,1
Q7,sdet-e-016,1
Q7,sdet-e-017,1
Q7,sdet-e-018,1
Q7,sdet-e-019,1
Q7,sdet-e-020,1
Q8,seo-001,1
Q8,seo-002,1
Q8,seo-003,1
Q8,seo-004,1
Q8,seo-005,1
Q8,seo-006,1
Q8,seo-007,1
Q8,seo-008,1
Q8,seo-009,1
Q8,seo-010,1
Q8,seo-011,1
Q8,seo-012,1
Q8,seo-013,1
Q8,seo-014,1
Q8,seo-015,1
Q8,seo-016,1
Q8,seo-017,1
Q8,seo-018,1
Q8,seo-019,1
Q8,seo-020,1
Q9,pm-f-001,1
Q9,pm-f-002,1
Q9,pm-f-003,1
Q9,pm-f-004,1
Q9,pm-f-005,1
Q9,pm-e-006,1
Q9,pm-e-007,1
Q9,pm-e-008,1
Q9,pm-e-009,1
Q9,pm-e-010,1
Q9,pm-e-011,1
Q9,pm-e-012,1
Q9,pm-e-013,1
Q9,pm-e-014,1
Q9,pm-e-015,1
Q9,pm-e-016,1
Q9,pm-e-017,1
Q9,pm-e-018,1
Q9,pm-e-019,1
Q9,pm-e-020,1
Q10,ml-f1,1
Q10,ml-f2,1
Q10,ml-f3,1
Q10,ml-f4,1
Q10,ml-f5,1
Q10,ml-f6,1
Q10,ml-e1,1
Q10,ml-s1,1
Q10,ml-s2,1
Q10,ml-s3,1
Q10,ml-s4,1
Q10,ml-s5,1
Q10,ai010,1
Q10,ai011,1
Q10,ai012,1
Q10,ai013,1
Q10,ai014,1
Q10,ai015,1
Q10,ai016,1
Q10,ai018,1
Q10,ai019,1
Q10,ai020,1
